Step,Time,Wall,ForceX,ForceY,ForceZ
260,13.,5,0.13292,0.00156291,6.56364e-12
261,13.05,5,0.1329,0.00156009,6.46949e-12
262,13.1,5,0.13288,0.00155722,6.08225e-12
263,13.15,5,0.132861,0.00155431,5.93836e-12
264,13.2,5,0.132842,0.00155136,5.88685e-12
265,13.25,5,0.132823,0.00154838,6.22435e-12
266,13.3,5,0.132804,0.00154538,5.62927e-12
267,13.35,5,0.132785,0.00154235,5.83178e-12
268,13.4,5,0.132767,0.00153931,5.68079e-12
269,13.45,5,0.132748,0.00153626,6.28475e-12
270,13.5,5,0.13273,0.00153321,6.22791e-12
271,13.55,5,0.132713,0.00153017,6.30429e-12
272,13.6,5,0.132695,0.00152715,5.93836e-12
273,13.65,5,0.132677,0.00152414,6.11067e-12
274,13.7,5,0.13266,0.00152115,6.12665e-12
275,13.75,5,0.132643,0.0015182,6.42153e-12
276,13.8,5,0.132626,0.00151529,5.93303e-12
277,13.85,5,0.132609,0.00151243,6.04672e-12
278,13.9,5,0.132592,0.00150962,5.93303e-12
279,13.95,5,0.132576,0.00150686,6.35225e-12
280,14.,5,0.13256,0.00150418,6.37179e-12
281,14.05,5,0.132543,0.00150156,6.20304e-12
282,14.1,5,0.132527,0.00149903,5.78737e-12
283,14.15,5,0.132512,0.00149657,6.43929e-12
284,14.2,5,0.132496,0.00149421,5.98632e-12
285,14.25,5,0.13248,0.00149194,6.16929e-12
286,14.3,5,0.132465,0.00148978,6.13376e-12
287,14.35,5,0.13245,0.00148772,6.03251e-12
288,14.4,5,0.132435,0.00148578,6.26343e-12
289,14.45,5,0.13242,0.00148396,6.01119e-12
290,14.5,5,0.132405,0.00148226,5.86198e-12
291,14.55,5,0.13239,0.00148068,6.10001e-12
292,14.6,5,0.132376,0.00147924,5.67368e-12
293,14.65,5,0.132362,0.00147794,6.5814e-12
294,14.7,5,0.132347,0.00147678,6.35403e-12
295,14.75,5,0.132333,0.00147577,6.1231e-12
296,14.8,5,0.132319,0.0014749,6.13376e-12
297,14.85,5,0.132305,0.00147419,5.84777e-12
298,14.9,5,0.132292,0.00147363,6.34159e-12
299,14.95,5,0.132278,0.00147323,6.14619e-12
300,15.,5,0.132265,0.00147299,5.79092e-12
301,15.05,5,0.132252,0.00147291,6.23501e-12
302,15.1,5,0.132238,0.001473,6.57074e-12
303,15.15,5,0.132225,0.00147325,5.5973e-12
304,15.2,5,0.132212,0.00147367,6.3185e-12
305,15.25,5,0.1322,0.00147426,6.23679e-12
306,15.3,5,0.132187,0.00147501,6.24567e-12
307,15.35,5,0.132174,0.00147594,5.94014e-12
308,15.4,5,0.132162,0.00147703,6.05382e-12
309,15.45,5,0.132149,0.00147829,6.41442e-12
310,15.5,5,0.132137,0.00147972,6.4162e-12
311,15.55,5,0.132125,0.00148131,5.80158e-12
312,15.6,5,0.132113,0.00148306,6.25455e-12
313,15.65,5,0.132101,0.00148498,5.92415e-12
314,15.7,5,0.132089,0.00148706,6.10534e-12
315,15.75,5,0.132078,0.00148929,6.33094e-12
316,15.8,5,0.132066,0.00149167,6.2883e-12
317,15.85,5,0.132055,0.00149421,5.78737e-12
318,15.9,5,0.132043,0.00149689,6.16218e-12
319,15.95,5,0.132032,0.00149971,5.92593e-12
320,16.,5,0.132021,0.00150267,5.94724e-12
321,16.05,5,0.13201,0.00150576,5.93303e-12
322,16.1,5,0.131999,0.00150897,6.49614e-12
323,16.15,5,0.131988,0.00151231,6.10179e-12
324,16.2,5,0.131977,0.00151576,6.37712e-12
325,16.25,5,0.131966,0.00151933,5.98988e-12
326,16.3,5,0.131956,0.00152299,6.11777e-12
327,16.35,5,0.131945,0.00152675,5.97744e-12
328,16.4,5,0.131935,0.00153061,6.26699e-12
329,16.45,5,0.131924,0.00153454,6.10179e-12
330,16.5,5,0.131914,0.00153854,6.26343e-12
331,16.55,5,0.131904,0.00154262,5.68079e-12
332,16.6,5,0.131894,0.00154675,6.22258e-12
333,16.65,5,0.131884,0.00155093,6.29541e-12
334,16.7,5,0.131874,0.00155515,6.25633e-12
335,16.75,5,0.131864,0.00155941,6.52634e-12
336,16.8,5,0.131854,0.00156369,6.63114e-12
337,16.85,5,0.131845,0.00156799,6.3487e-12
338,16.9,5,0.131835,0.00157229,6.42686e-12
339,16.95,5,0.131826,0.00157659,6.40377e-12
340,17.,5,0.131816,0.00158088,5.93126e-12
341,17.05,5,0.131807,0.00158515,6.44995e-12
342,17.1,5,0.131798,0.00158939,5.85487e-12
343,17.15,5,0.131789,0.00159359,6.52811e-12
344,17.2,5,0.13178,0.00159774,5.98632e-12
345,17.25,5,0.131771,0.00160183,6.84963e-12
346,17.3,5,0.131762,0.00160585,6.30251e-12
347,17.35,5,0.131753,0.00160979,6.0254e-12
348,17.4,5,0.131744,0.00161365,6.0858e-12
349,17.45,5,0.131735,0.00161741,5.78382e-12
350,17.5,5,0.131727,0.00162107,5.85842e-12
351,17.55,5,0.131718,0.00162461,6.49436e-12
352,17.6,5,0.131709,0.00162803,6.17639e-12
353,17.65,5,0.131701,0.00163132,5.9952e-12
354,17.7,5,0.131693,0.00163446,6.68443e-12
355,17.75,5,0.131684,0.00163746,6.3558e-12
356,17.8,5,0.131676,0.00164031,5.86198e-12
357,17.85,5,0.131668,0.00164298,6.17284e-12
358,17.9,5,0.13166,0.00164549,5.39835e-12
359,17.95,5,0.131652,0.00164781,6.45528e-12
360,18.,5,0.131644,0.00164995,5.93481e-12
361,18.05,5,0.131636,0.0016519,5.67368e-12
362,18.1,5,0.131628,0.00165365,7.03615e-12
363,18.15,5,0.13162,0.00165519,5.74119e-12
364,18.2,5,0.131613,0.00165652,6.56541e-12
365,18.25,5,0.131605,0.00165763,6.23857e-12
366,18.3,5,0.131597,0.00165852,6.24034e-12
367,18.35,5,0.13159,0.00165919,6.12133e-12
368,18.4,5,0.131582,0.00165962,6.68443e-12
369,18.45,5,0.131575,0.00165982,6.08047e-12
370,18.5,5,0.131567,0.00165979,6.23501e-12
371,18.55,5,0.13156,0.00165951,6.13554e-12
372,18.6,5,0.131553,0.00165899,5.99165e-12
373,18.65,5,0.131546,0.00165823,5.83e-12
374,18.7,5,0.131539,0.00165723,6.386e-12
375,18.75,5,0.131532,0.00165597,6.03606e-12
376,18.8,5,0.131524,0.00165448,6.30607e-12
377,18.85,5,0.131518,0.00165273,6.10356e-12
378,18.9,5,0.131511,0.00165075,6.8141e-12
379,18.95,5,0.131504,0.00164851,6.25633e-12
380,19.,5,0.131497,0.00164604,6.17462e-12
381,19.05,5,0.13149,0.00164333,5.86553e-12
382,19.1,5,0.131483,0.00164038,6.67377e-12
383,19.15,5,0.131477,0.0016372,6.33094e-12
384,19.2,5,0.13147,0.00163379,6.43752e-12
385,19.25,5,0.131464,0.00163015,5.69322e-12
386,19.3,5,0.131457,0.0016263,6.23679e-12
387,19.35,5,0.131451,0.00162223,6.3114e-12
388,19.4,5,0.131444,0.00161796,6.00942e-12
389,19.45,5,0.131438,0.00161348,5.91527e-12
390,19.5,5,0.131432,0.00160881,6.26166e-12
391,19.55,5,0.131425,0.00160396,5.92237e-12
392,19.6,5,0.131419,0.00159893,5.92593e-12
393,19.65,5,0.131413,0.00159372,6.50147e-12
394,19.7,5,0.131407,0.00158836,6.2208e-12
395,19.75,5,0.131401,0.00158284,5.67013e-12
396,19.8,5,0.131395,0.00157719,5.9508e-12
397,19.85,5,0.131389,0.0015714,5.31664e-12
398,19.9,5,0.131383,0.0015655,6.39488e-12
399,19.95,5,0.131377,0.00155948,6.00586e-12
400,20.,5,0.131371,0.00155337,6.18883e-12
401,20.05,5,0.131365,0.00154717,6.56364e-12
402,20.1,5,0.131359,0.0015409,6.33982e-12
403,20.15,5,0.131354,0.00153457,6.19593e-12
404,20.2,5,0.131348,0.00152819,5.90106e-12
405,20.25,5,0.131342,0.00152178,6.65779e-12
406,20.3,5,0.131337,0.00151535,5.94724e-12
407,20.35,5,0.131331,0.0015089,6.29541e-12
408,20.4,5,0.131326,0.00150246,6.21192e-12
409,20.45,5,0.13132,0.00149605,6.43396e-12
410,20.5,5,0.131315,0.00148966,6.86917e-12
411,20.55,5,0.131309,0.00148332,6.32738e-12
412,20.6,5,0.131304,0.00147705,5.9277e-12
413,20.65,5,0.131299,0.00147085,6.19771e-12
414,20.7,5,0.131293,0.00146474,5.81579e-12
415,20.75,5,0.131288,0.00145873,6.43396e-12
416,20.8,5,0.131283,0.00145284,6.24745e-12
417,20.85,5,0.131278,0.00144708,5.96856e-12
418,20.9,5,0.131272,0.00144147,6.31672e-12
419,20.95,5,0.131267,0.00143603,5.75184e-12
420,21.,5,0.131262,0.00143075,6.37712e-12
421,21.05,5,0.131257,0.00142566,5.74474e-12
422,21.1,5,0.131252,0.00142077,6.02896e-12
423,21.15,5,0.131247,0.0014161,6.29896e-12
424,21.2,5,0.131242,0.00141165,6.11955e-12
425,21.25,5,0.131237,0.00140744,6.13554e-12
426,21.3,5,0.131233,0.00140349,6.88516e-12
427,21.35,5,0.131228,0.00139979,6.19238e-12
428,21.4,5,0.131223,0.00139637,5.58309e-12
429,21.45,5,0.131218,0.00139323,5.94369e-12
430,21.5,5,0.131214,0.00139039,6.24212e-12
431,21.55,5,0.131209,0.00138785,6.05027e-12
432,21.6,5,0.131204,0.00138563,6.72173e-12
433,21.65,5,0.1312,0.00138373,5.69322e-12
434,21.7,5,0.131195,0.00138216,6.20126e-12
435,21.75,5,0.13119,0.00138094,6.25633e-12
436,21.8,5,0.131186,0.00138005,6.43574e-12
437,21.85,5,0.131181,0.00137952,6.19238e-12
438,21.9,5,0.131177,0.00137935,6.27587e-12
439,21.95,5,0.131173,0.00137955,5.72342e-12
440,22.,5,0.131168,0.00138011,6.26343e-12
441,22.05,5,0.131164,0.00138104,5.83711e-12
442,22.1,5,0.131159,0.00138235,6.56364e-12
443,22.15,5,0.131155,0.00138403,5.9508e-12
444,22.2,5,0.131151,0.00138609,6.32028e-12
445,22.25,5,0.131147,0.00138853,6.25633e-12
446,22.3,5,0.131142,0.00139135,6.32738e-12
447,22.35,5,0.131138,0.00139455,6.17284e-12
448,22.4,5,0.131134,0.00139812,6.26876e-12
449,22.45,5,0.13113,0.00140206,5.98632e-12
450,22.5,5,0.131126,0.00140638,5.92415e-12
451,22.55,5,0.131122,0.00141106,5.64171e-12
452,22.6,5,0.131118,0.0014161,6.57252e-12
453,22.65,5,0.131114,0.0014215,6.34159e-12
454,22.7,5,0.13111,0.00142724,5.81046e-12
455,22.75,5,0.131106,0.00143332,6.22435e-12
456,22.8,5,0.131102,0.00143974,6.03428e-12
457,22.85,5,0.131098,0.00144648,6.30607e-12
458,22.9,5,0.131094,0.00145353,6.10001e-12
459,22.95,5,0.13109,0.00146088,5.75007e-12
460,23.,5,0.131086,0.00146853,6.35048e-12
461,23.05,5,0.131082,0.00147645,6.07159e-12
462,23.1,5,0.131079,0.00148464,6.00942e-12
463,23.15,5,0.131075,0.00149307,6.17106e-12
464,23.2,5,0.131071,0.00150175,6.21903e-12
465,23.25,5,0.131068,0.00151064,6.23679e-12
466,23.3,5,0.131064,0.00151975,6.0485e-12
467,23.35,5,0.13106,0.00152904,6.22258e-12
468,23.4,5,0.131057,0.0015385,6.04494e-12
469,23.45,5,0.131053,0.00154812,5.82467e-12
470,23.5,5,0.131049,0.00155787,6.11067e-12
471,23.55,5,0.131046,0.00156774,5.97211e-12
472,23.6,5,0.131042,0.0015777,6.16751e-12
473,23.65,5,0.131039,0.00158775,6.16041e-12
474,23.7,5,0.131035,0.00159785,6.78213e-12
475,23.75,5,0.131032,0.00160799,6.34515e-12
476,23.8,5,0.131028,0.00161815,6.09646e-12
477,23.85,5,0.131025,0.0016283,6.02896e-12
478,23.9,5,0.131022,0.00163842,6.04494e-12
479,23.95,5,0.131018,0.0016485,6.19238e-12
480,24.,5,0.131015,0.0016585,5.81935e-12
481,24.05,5,0.131012,0.00166841,6.03784e-12
482,24.1,5,0.131008,0.00167821,6.22258e-12
483,24.15,5,0.131005,0.00168787,6.2208e-12
484,24.2,5,0.131002,0.00169736,5.49605e-12
485,24.25,5,0.130999,0.00170668,6.27054e-12
486,24.3,5,0.130995,0.00171579,5.57066e-12
487,24.35,5,0.130992,0.00172468,6.29896e-12
488,24.4,5,0.130989,0.00173332,5.8904e-12
489,24.45,5,0.130986,0.00174169,6.71108e-12
490,24.5,5,0.130983,0.00174976,5.98099e-12
491,24.55,5,0.13098,0.00175753,6.71641e-12
492,24.6,5,0.130977,0.00176496,6.36469e-12
493,24.65,5,0.130974,0.00177204,6.10889e-12
494,24.7,5,0.13097,0.00177874,5.88862e-12
495,24.75,5,0.130967,0.00178505,6.11955e-12
496,24.8,5,0.130964,0.00179095,6.60094e-12
497,24.85,5,0.130962,0.00179643,6.36113e-12
498,24.9,5,0.130959,0.00180145,5.68612e-12
499,24.95,5,0.130956,0.00180601,6.5512e-12
500,25.,5,0.130953,0.00181009,5.52802e-12
501,25.05,5,0.13095,0.00181368,6.36113e-12
502,25.1,5,0.130947,0.00181676,5.93658e-12
503,25.15,5,0.130944,0.00181931,5.86553e-12
504,25.2,5,0.130941,0.00182133,6.05027e-12
505,25.25,5,0.130938,0.0018228,6.5814e-12
506,25.3,5,0.130936,0.00182372,5.7554e-12
507,25.35,5,0.130933,0.00182406,6.03961e-12
508,25.4,5,0.13093,0.00182383,6.25988e-12
509,25.45,5,0.130927,0.00182302,6.22258e-12
510,25.5,5,0.130925,0.00182162,6.88161e-12
511,25.55,5,0.130922,0.00181962,6.4091e-12
512,25.6,5,0.130919,0.00181702,6.76437e-12
513,25.65,5,0.130917,0.00181382,6.4162e-12
514,25.7,5,0.130914,0.00181002,6.39133e-12
